riesgo_insomnio,horas_sueno_promedio,consumo_cafeina,uso_pantalla_antes_dormir,ejercicio_frecuencia,nivel_estres,siestas_dia,ruido_ambiente,luz_habitacion,temperatura_habitacion,horario_trabajo,comida_pesada_antes_dormir,consumo_alcohol,consumo_nicotina,uso_dispositivo_en_cama,actividad_relajante_antes_dormir,numero_despertares_noche,dias_horario_irregular_semana
no,8.7,alta,moderado,ocasional,bajo,ninguna,bajo,tenue,templada,rotativo,no,sí,no,no,sí,1,3
sí,5.9,alta,ninguno,frecuente,alto,ninguna,medio,oscura,templada,diurno,sí,no,no,no,sí,2,0
sí,3.8,media,poco,ocasional,alto,ninguna,medio,iluminada,fria,nocturno,no,no,no,sí,no,0,1
sí,5.6,media,moderado,ocasional,alto,una,bajo,tenue,templada,rotativo,sí,no,no,no,no,0,6
sí,5.0,baja,poco,ocasional,bajo,una,medio,tenue,calurosa,rotativo,no,no,no,no,no,1,6
no,6.4,ninguna,ninguno,ocasional,alto,una,medio,tenue,templada,diurno,no,no,no,sí,no,0,7
no,6.6,media,mucho,frecuente,bajo,una,bajo,tenue,fria,diurno,no,sí,no,no,sí,2,7
sí,5.6,alta,moderado,ocasional,alto,una,alto,tenue,fria,diurno,no,no,no,sí,no,3,0
no,9.0,baja,ninguno,ocasional,medio,una,alto,iluminada,fria,diurno,no,no,no,no,no,1,6
no,6.8,baja,poco,ocasional,bajo,una,bajo,tenue,fria,nocturno,no,sí,no,sí,no,2,1
sí,4.8,baja,poco,ocasional,alto,una,bajo,tenue,templada,rotativo,sí,no,no,no,sí,2,6
no,5.7,baja,poco,ocasional,bajo,ninguna,bajo,tenue,templada,diurno,no,sí,sí,no,no,1,0
no,7.1,ninguna,moderado,nunca,alto,ninguna,medio,oscura,templada,nocturno,sí,no,no,no,no,1,1
no,8.0,ninguna,poco,ocasional,alto,dos_o_mas,medio,tenue,fria,diurno,no,no,no,sí,no,1,4
no,6.0,alta,moderado,ocasional,bajo,dos_o_mas,bajo,iluminada,templada,diurno,sí,no,no,no,sí,1,7
sí,7.5,media,poco,frecuente,bajo,ninguna,bajo,iluminada,calurosa,nocturno,sí,sí,no,no,no,1,2
sí,7.5,alta,mucho,ocasional,medio,ninguna,alto,iluminada,calurosa,nocturno,sí,no,no,sí,no,1,7
no,3.5,media,poco,ocasional,medio,una,medio,oscura,templada,diurno,no,no,no,no,no,1,2
sí,8.1,ninguna,mucho,frecuente,bajo,ninguna,medio,oscura,templada,diurno,no,no,no,sí,no,2,2
sí,7.6,alta,poco,ocasional,bajo,dos_o_mas,alto,tenue,calurosa,diurno,no,no,sí,sí,no,0,1
no,8.3,baja,poco,frecuente,medio,ninguna,medio,iluminada,templada,rotativo,no,no,no,sí,no,2,7
no,8.2,ninguna,poco,nunca,alto,dos_o_mas,bajo,tenue,fria,diurno,no,sí,no,no,no,5,2
no,6.2,baja,poco,frecuente,medio,ninguna,bajo,oscura,calurosa,rotativo,sí,no,no,sí,no,3,7
sí,7.0,baja,poco,frecuente,medio,dos_o_mas,alto,oscura,calurosa,nocturno,sí,no,no,sí,sí,1,4
sí,3.5,ninguna,poco,nunca,bajo,dos_o_mas,medio,tenue,templada,diurno,sí,sí,sí,sí,no,0,4
sí,6.6,media,ninguno,nunca,alto,ninguna,alto,tenue,fria,rotativo,no,no,no,no,no,3,3
no,6.1,baja,poco,nunca,medio,ninguna,bajo,iluminada,calurosa,diurno,no,no,no,sí,no,0,0
no,5.3,baja,moderado,ocasional,medio,ninguna,medio,tenue,templada,rotativo,no,no,no,sí,sí,1,0
no,5.4,alta,poco,nunca,bajo,ninguna,bajo,oscura,templada,diurno,sí,no,sí,no,no,1,7
no,4.5,baja,moderado,ocasional,medio,una,alto,oscura,templada,diurno,no,no,no,sí,no,1,7
no,6.3,baja,ninguno,ocasional,alto,una,alto,oscura,fria,diurno,no,no,no,sí,no,0,5
no,8.0,baja,mucho,frecuente,medio,una,medio,oscura,fria,diurno,no,no,no,no,no,1,7
no,7.4,ninguna,poco,ocasional,bajo,una,medio,tenue,templada,rotativo,no,sí,no,sí,sí,0,0
no,5.8,ninguna,ninguno,frecuente,alto,ninguna,medio,oscura,templada,diurno,no,no,sí,sí,sí,0,3
sí,7.1,media,ninguno,nunca,bajo,ninguna,medio,oscura,templada,rotativo,no,sí,no,sí,no,2,1
sí,6.1,media,mucho,frecuente,alto,una,bajo,tenue,templada,rotativo,no,sí,no,sí,no,0,2
no,6.2,baja,ninguno,frecuente,bajo,ninguna,medio,tenue,calurosa,diurno,sí,no,sí,sí,no,2,6
no,7.1,baja,mucho,frecuente,bajo,una,bajo,oscura,calurosa,diurno,no,no,no,no,sí,2,0
sí,9.8,media,moderado,frecuente,alto,una,alto,oscura,calurosa,diurno,sí,sí,no,no,sí,0,3
no,7.1,media,poco,nunca,alto,ninguna,alto,tenue,fria,diurno,sí,no,no,sí,sí,0,0
sí,6.4,media,ninguno,ocasional,medio,dos_o_mas,medio,oscura,templada,nocturno,no,no,no,no,no,1,5
no,7.8,media,moderado,ocasional,bajo,ninguna,bajo,oscura,templada,diurno,no,no,no,sí,no,0,3
no,7.5,ninguna,ninguno,frecuente,medio,ninguna,bajo,oscura,fria,rotativo,no,no,no,sí,no,1,2
no,7.9,baja,moderado,frecuente,medio,una,medio,oscura,templada,diurno,sí,no,no,sí,no,2,1
sí,5.5,ninguna,ninguno,nunca,bajo,una,alto,tenue,templada,diurno,sí,no,no,sí,no,1,5
sí,7.5,media,poco,frecuente,alto,una,alto,iluminada,templada,rotativo,no,no,no,no,no,1,2
no,6.4,baja,moderado,nunca,bajo,ninguna,bajo,tenue,fria,diurno,sí,no,sí,no,no,1,0
no,7.3,baja,poco,ocasional,bajo,ninguna,alto,tenue,templada,diurno,no,no,no,no,no,2,1
no,4.1,baja,poco,nunca,medio,ninguna,medio,tenue,fria,diurno,no,no,no,no,sí,2,0
sí,5.9,baja,poco,nunca,medio,ninguna,alto,oscura,templada,diurno,no,no,no,no,no,1,6
sí,5.2,ninguna,poco,frecuente,medio,una,alto,oscura,calurosa,rotativo,no,no,no,sí,sí,2,4
sí,8.4,alta,mucho,ocasional,medio,una,medio,oscura,templada,diurno,no,sí,no,sí,sí,2,3
sí,3.5,media,poco,ocasional,bajo,dos_o_mas,medio,iluminada,templada,rotativo,sí,no,no,sí,no,0,4
no,7.2,media,ninguno,nunca,medio,una,alto,oscura,calurosa,nocturno,no,no,no,no,sí,1,7
no,8.2,media,poco,frecuente,bajo,ninguna,medio,oscura,templada,diurno,sí,no,no,sí,no,1,3
no,7.3,media,moderado,frecuente,alto,una,bajo,oscura,templada,rotativo,no,no,no,sí,sí,0,0
sí,8.9,baja,moderado,nunca,medio,dos_o_mas,medio,tenue,calurosa,diurno,no,no,no,sí,no,0,3
sí,7.6,baja,moderado,ocasional,alto,ninguna,alto,oscura,fria,diurno,no,no,sí,sí,sí,1,3
no,6.1,ninguna,moderado,ocasional,bajo,ninguna,medio,iluminada,templada,diurno,no,no,no,no,no,0,4
sí,5.3,media,mucho,ocasional,bajo,una,bajo,oscura,fria,diurno,no,no,no,sí,no,3,6
sí,5.5,alta,moderado,nunca,medio,ninguna,medio,tenue,calurosa,rotativo,no,no,sí,sí,sí,1,1
sí,7.8,ninguna,ninguno,ocasional,medio,una,medio,iluminada,fria,nocturno,sí,sí,no,sí,sí,4,5
no,6.1,alta,ninguno,frecuente,medio,ninguna,bajo,tenue,templada,nocturno,no,no,no,sí,no,0,2
